--- 1 ---
(49) 1: -54
(50) 1: -55
(51) 1: -54
(52) 1: -54
(53) 1: -54
(54) 1: -54
(55) 1: -55
(56) 1: -54
(57) 1: -56
(58) 1: -54
(59) 1: -56
(60) 1: -54
(61) 1: -54
(62) 1: -54
(63) 1: -54
(64) 1: -54
(65) 1: -54
(66) 1: -54
(67) 1: -54
(68) 1: -54
(69) 1: -54
(70) 1: -55
(71) 1: -56
(72) 1: -56
(73) 1: -56
(74) 1: -56
(75) 1: -55
(76) 1: -55
(77) 1: -55
(78) 1: -55
(79) 1: -54
(80) 1: -54
(81) 1: -55
(82) 1: -55
(83) 1: -55
(85) 1: -55
(86) 1: -56
(87) 1: -55
(88) 1: -56
(89) 1: -56
(90) 1: -55
(91) 1: -55
(92) 1: -55
(93) 1: -55
(94) 1: -54
(95) 1: -54
(96) 1: -54
(97) 1: -55
(98) 1: -59
(99) 1: -55
(100) 1:-55
--- 5 ---
 (1) 1: -54
 (2) 1: -55
 (3) 1: -56
 (4) 1: -54
 (5) 1: -56
 (6) 1: -54
 (7) 1: -56
 (8) 1: -55
 (9) 1: -55
(10) 1: -56
(11) 1: -56
(12) 1: -55
(13) 1: -55
(14) 1: -55
(15) 1: -55
(16) 1: -56
(17) 1: -56
(18) 1: -55
(19) 1: -55
(20) 1: -55
(21) 1: -56
(22) 1: -55
(23) 1: -55
(24) 1: -55
(25) 1: -56
(26) 1: -55
(27) 1: -56
(28) 1: -55
(29) 1: -56
(30) 1: -55
(31) 1: -56
(32) 1: -56
(33) 1: -55
(34) 1: -55
(35) 1: -55
(36) 1: -55
(37) 1: -55
(38) 1: -56
(39) 1: -55
(40) 1: -55
(41) 1: -55
(42) 1: -55
(43) 1: -55
(44) 1: -55
(45) 1: -56
(46) 1: -55
(47) 1: -55
(48) 1: -55
(49) 1: -55
(50) 1: -55
(51) 1: -55
(52) 1: -56
(53) 1: -55
(54) 1: -55
(55) 1: -55
(56) 1: -55
(57) 1: -55
(58) 1: -55
(59) 1: -55
(60) 1: -56
(61) 1: -55
(62) 1: -55
(63) 1: -55
(64) 1: -54
(65) 1: -55
(66) 1: -55
(67) 1: -55
(68) 1: -56
(69) 1: -55
(70) 1: -54
(71) 1: -54
(72) 1: -54
(73) 1: -54
(74) 1: -54
(75) 1: -55
(76) 1: -55
(77) 1: -54
(78) 1: -54
(79) 1: -53
(80) 1: -54
(81) 1: -54
(82) 1: -53
(83) 1: -54
(84) 1: -54
(85) 1: -54
