--- 1 ---
(49) 0: -86
(50) 0: -86
(51) 0: -87
(52) 0: -85
(53) 0: -86
(54) 0: -86
(55) 0: -86
(56) 0: -85
(57) 0: -85
(58) 0: -85
(59) 0: -86
(60) 0: -86
(61) 0: -86
(62) 0: -86
(63) 0: -87
(64) 0: -86
(65) 0: -86
(66) 0: -86
(67) 0: -85
(68) 0: -86
(69) 0: -86
(70) 0: -86
(71) 0: -87
(72) 0: -86
(73) 0: -86
(74) 0: -86
(75) 0: -86
(76) 0: -86
(77) 0: -86
(78) 0: -85
(79) 0: -86
(80) 0: -86
(81) 0: -86
(82) 0: -86
(83) 0: -85
(84) 0: -86
(85) 0: -85
(86) 0: -86
(87) 0: -86
(88) 0: -86
(89) 0: -86
(90) 0: -86
(91) 0: -87
(92) 0: -86
(93) 0: -86
(94) 0: -86
(95) 0: -86
(96) 0: -86
(97) 0: -87
(98) 0: -85
(99) 0: -86
(100) 0:-85
--- 5 ---
 (1) 0: -86
 (2) 0: -86
 (3) 0: -85
 (4) 0: -86
 (5) 0: -86
 (6) 0: -87
 (7) 0: -86
 (8) 0: -86
 (9) 0: -85
(10) 0: -86
(11) 0: -83
(12) 0: -86
(13) 0: -85
(14) 0: -85
(15) 0: -86
(16) 0: -85
(17) 0: -86
(18) 0: -85
(19) 0: -85
(20) 0: -85
(21) 0: -86
(22) 0: -86
(23) 0: -86
(24) 0: -86
(25) 0: -85
(26) 0: -86
(27) 0: -85
(28) 0: -86
(29) 0: -86
(30) 0: -86
(31) 0: -85
(32) 0: -85
(33) 0: -85
(34) 0: -85
(35) 0: -85
(36) 0: -86
(37) 0: -86
(38) 0: -86
(39) 0: -85
(40) 0: -87
(41) 0: -85
(42) 0: -85
(43) 0: -85
(44) 0: -85
(45) 0: -85
(46) 0: -85
(47) 0: -84
(48) 0: -85
(49) 0: -84
(50) 0: -86
(51) 0: -86
(52) 0: -86
(53) 0: -85
(54) 0: -85
(55) 0: -85
(56) 0: -87
(57) 0: -86
(58) 0: -86
(59) 0: -87
(60) 0: -86
(61) 0: -85
(62) 0: -86
(63) 0: -86
(64) 0: -86
(65) 0: -86
(66) 0: -87
(67) 0: -86
(68) 0: -86
(69) 0: -86
(70) 0: -85
(71) 0: -86
(72) 0: -86
(73) 0: -86
(74) 0: -87
(75) 0: -86
(76) 0: -87
(77) 0: -86
(78) 0: -86
(79) 0: -87
(80) 0: -86
(81) 0: -86
(82) 0: -85
(83) 0: -86
(84) 0: -86
(85) 0: -86
(86) 0: -86
(87) 0: -86
(88) 0: -85
(89) 0: -87
(90) 0: -85
(91) 0: -86
(92) 0: -85
(93) 0: -86
(94) 0: -87
(95) 0: -86
(96) 0: -87
(97) 0: -86
(98) 0: -86
(99) 0: -85
(100) 0:-86
--- 6 ---
 (1) 0: -86
 (2) 0: -86
 (3) 0: -86
 (4) 0: -85
 (5) 0: -86
 (6) 0: -86
 (7) 0: -86
 (8) 0: -86
 (9) 0: -86
(10) 0: -87
(11) 0: -86
(12) 0: -85
(13) 0: -85
(14) 0: -85
(15) 0: -86
(16) 0: -85
(17) 0: -85
(18) 0: -85
(19) 0: -85
(20) 0: -84
(21) 0: -85
(22) 0: -85
(23) 0: -85
(24) 0: -85
(25) 0: -85
(26) 0: -85
(27) 0: -85
(28) 0: -85
(29) 0: -85
(30) 0: -85
(31) 0: -85
(32) 0: -84
(33) 0: -85
(34) 0: -85
(35) 0: -84
(36) 0: -84
(37) 0: -84
(38) 0: -84
(39) 0: -85
(40) 0: -85
(41) 0: -85
(42) 0: -85
(43) 0: -85
(44) 0: -85
(45) 0: -85
(46) 0: -85
(47) 0: -85
(48) 0: -85
(49) 0: -84
(50) 0: -85
(51) 0: -85
(52) 0: -84
(53) 0: -85
(54) 0: -85
(55) 0: -84
(56) 0: -84
(57) 0: -85
(58) 0: -86
(59) 0: -84
(60) 0: -85
(61) 0: -85
(62) 0: -85
(63) 0: -84
(64) 0: -84
(65) 0: -84
(66) 0: -84
(67) 0: -85
(68) 0: -85
(69) 0: -85
(70) 0: -86
(71) 0: -85
(72) 0: -86
(73) 0: -86
(74) 0: -85
(75) 0: -85
(76) 0: -85
(77) 0: -86
(78) 0: -86
(79) 0: -86
(80) 0: -85
(81) 0: -85
(82) 0: -85
(83) 0: -85
(84) 0: -85
(85) 0: -84
(86) 0: -86
(87) 0: -85
(88) 0: -85
(89) 0: -84
(90) 0: -85
(91) 0: -85
(92) 0: -85
(93) 0: -85
(94) 0: -84
(95) 0: -85
(96) 0: -85
(97) 0: -84
(98) 0: -84
(99) 0: -85
(100) 0:-86
--- 7 ---
 (1) 0: -84
 (2) 0: -85
 (3) 0: -84
 (4) 0: -85
 (5) 0: -85
 (6) 0: -86
 (7) 0: -85
 (8) 0: -85
 (9) 0: -85
(10) 0: -86
(11) 0: -85
(12) 0: -84
(13) 0: -84
(14) 0: -84
(15) 0: -85
(16) 0: -85
(17) 0: -85
(18) 0: -85
(19) 0: -85
(20) 0: -85
(21) 0: -85
(22) 0: -85
(23) 0: -85
(24) 0: -85
(25) 0: -85
(26) 0: -85
(27) 0: -84
(28) 0: -85
(29) 0: -88
(30) 0: -85
(31) 0: -86
(32) 0: -86
(33) 0: -85
(34) 0: -85
(35) 0: -86
(36) 0: -85
(37) 0: -86
(38) 0: -85
(39) 0: -86
(40) 0: -86
(41) 0: -85
(42) 0: -85
(43) 0: -85
(44) 0: -85
(45) 0: -86
(46) 0: -85
(47) 0: -85
(48) 0: -85
(49) 0: -86
(50) 0: -86
(51) 0: -86
(52) 0: -85
(53) 0: -85
(54) 0: -85
(55) 0: -85
(56) 0: -85
(57) 0: -86
(58) 0: -85
(59) 0: -85
(60) 0: -85
(61) 0: -85
(62) 0: -86
(63) 0: -85
(64) 0: -85
(65) 0: -86
(66) 0: -85
(67) 0: -86
(68) 0: -84
(69) 0: -85
(70) 0: -85
(71) 0: -85
(72) 0: -85
(73) 0: -84
(74) 0: -84
(75) 0: -85
(76) 0: -85
(77) 0: -85
(78) 0: -85
(79) 0: -85
(80) 0: -86
(81) 0: -85
(82) 0: -84
(83) 0: -85
(84) 0: -85
(85) 0: -85
(86) 0: -85
(87) 0: -84
(88) 0: -85
(89) 0: -86
(90) 0: -86
(91) 0: -87
(92) 0: -84
(93) 0: -84
(94) 0: -84
(95) 0: -85
(96) 0: -85
(97) 0: -85
(98) 0: -85
(99) 0: -85
(100) 0:-85
--- 8 ---
 (1) 0: -85
 (2) 0: -85
 (3) 0: -85
 (4) 0: -85
 (5) 0: -85
 (6) 0: -85
 (7) 0: -85
 (8) 0: -86
 (9) 0: -85
(10) 0: -85
(11) 0: -85
(12) 0: -85
(13) 0: -85
(14) 0: -86
(15) 0: -84
(16) 0: -84
(17) 0: -84
(18) 0: -84
(19) 0: -84
(20) 0: -87
(21) 0: -86
(22) 0: -85
(23) 0: -85
(24) 0: -84
(25) 0: -85
(26) 0: -85
(27) 0: -85
(28) 0: -85
(29) 0: -85
(30) 0: -85
(31) 0: -85
(32) 0: -85
(33) 0: -85
(34) 0: -84
(35) 0: -85
(36) 0: -84
(37) 0: -85
(38) 0: -85
(39) 0: -84
(40) 0: -85
(41) 0: -84
(42) 0: -87
(43) 0: -84
(44) 0: -86
(45) 0: -84
(46) 0: -85
(47) 0: -86
(48) 0: -87
(49) 0: -86
(50) 0: -85
(51) 0: -85
(52) 0: -85
(53) 0: -84
(54) 0: -83
(55) 0: -85
(56) 0: -85
(57) 0: -85
(58) 0: -85
(59) 0: -85
(60) 0: -85
(61) 0: -84
(62) 0: -85
(63) 0: -85
(64) 0: -84
(65) 0: -84
(66) 0: -85
(67) 0: -85
(68) 0: -85
(69) 0: -85
(70) 0: -84
(71) 0: -84
(72) 0: -85
(73) 0: -84
(74) 0: -85
(75) 0: -84
(76) 0: -84
(77) 0: -85
(78) 0: -84
(79) 0: -84
(80) 0: -85
(81) 0: -84
(82) 0: -84
(83) 0: -84
(84) 0: -84
(85) 0: -85
(86) 0: -84
(87) 0: -85
(88) 0: -85
(89) 0: -84
(90) 0: -86
(91) 0: -85
(92) 0: -85
(93) 0: -85
(94) 0: -84
(95) 0: -84
(96) 0: -85
(97) 0: -84
(98) 0: -84
(99) 0: -84
(100) 0:-85
--- 9 ---
 (1) 0: -85
 (2) 0: -84
 (3) 0: -84
 (4) 0: -85
 (5) 0: -84
 (6) 0: -84
